result,topK,alpha,beta
0.016675441142065425,139.0,0.6145139516361975,0.9092745480766007
0.02646666914120053,775.0,0.3193621483681308,0.2681333676809894
0.010170759772162998,843.0,1.7653391237244394,0.9808714240356011
0.023675356782924355,870.0,0.5700201453123455,0.674483367215329
0.004493588705323395,721.0,0.013039802929906585,1.9795105057240998
0.029323850241153634,83.0,0.3970187027360055,0.04422996646500854
0.023791996229708172,796.0,1.154746572869142,0.5449065111703923
0.012374316128568104,510.0,0.23604548179377227,1.050958036994773
0.008430165253932363,384.0,1.6750163850397624,1.213926418124982
0.010746227459237883,788.0,1.2417549901712102,1.1770091714320627
0.029896792777956878,15.0,0.9076847913847905,0.03581736083488063
0.029577634029801632,8.0,0.7797662479082383,0.07382239051759124
0.030545462827987535,19.0,0.8250519962634792,0.11017570882368712
0.02746169757585484,264.0,0.8810113660362263,0.40936913783243745
0.006276504517150805,240.0,1.4528879313313103,1.6830725962615614
0.026816715707446096,461.0,0.9736286513010928,0.26151204069395206
0.007595887098225578,208.0,1.3062151073487196,1.4906885981166211
0.02401277084907979,12.0,0.6229639302134676,0.738173300884339
0.02424794388654869,614.0,1.061646565381753,0.032816086024484076
0.023570559109886716,991.0,1.5005106103225543,0.3262783478376186
0.026568562610228504,337.0,0.8497442572382834,0.5156795555169251
0.02886239112046863,7.0,0.7753130828131873,0.015719970247386122
0.022944496184716903,120.0,1.9615466123768848,0.2027753611883167
0.02974912716409217,69.0,0.7122354376875499,0.1603081396220971
0.026792554124823866,148.0,1.043208463438937,0.4236792100766464
0.023788899686858288,89.0,0.44099515556346,0.6938542106436467
0.02717968271964791,304.0,0.6765106470197508,0.1815815303684618
0.028998923577366588,70.0,0.9438563681163183,0.17917905566868053
0.0267872484972818,172.0,0.15774129599772113,0.5153045547794468
0.018160021415973816,180.0,0.49991352303217673,0.8520654905788507
0.02796863414677951,394.0,0.6487961326687408,0.33735881901965437
0.030539018914443185,35.0,0.7426791055384174,0.13088828647465645
0.02981126723175945,62.0,0.7485242743859561,0.1520614684385064
0.02669159423028386,128.0,1.0955542996680077,0.006560661488728831
0.030075081884604834,47.0,0.536036097492696,0.3512439162683722
0.028567022774717458,217.0,0.5214433031832046,0.3800569616677909
0.026152839641146956,5.0,0.30243044356582977,0.5979434591690633
0.02824509817154287,125.0,0.8834427115648079,0.2690843976829207
0.02473720103120541,627.0,0.40470405676599225,0.09366342750064188
0.02692308021091968,297.0,0.13020078187107997,0.4548288090617685
0.016537570186805087,56.0,1.20474297140423,0.8039245366045693
0.029724019634307822,62.0,0.7844798066494004,0.15396848277638447
0.029523162770398174,101.0,0.5613951534523296,0.261361531785623
0.03009664295612332,56.0,0.7177502249999679,0.10834794049939381
0.02701180690530085,179.0,0.949210196080831,0.10162045035551541
0.030773801650288802,31.0,0.5977913840491179,0.2789509154327634
0.02615209278155635,38.0,0.5964944136948793,0.6223190127251746
0.029166672290608334,129.0,0.2833422892671138,0.2960785641627408
0.014801893244070425,265.0,0.47030207769060145,0.9816630877433358
0.01017551312853201,160.0,0.396865097352771,1.364846626033414
0.006926762768599545,103.0,0.6649916564370832,1.8088969007532052
0.029998011373860833,38.0,0.8080099664576857,0.06987493766032488
0.03006499253140341,43.0,0.8065919233007397,0.23902457013571674
0.03083604069934767,40.0,0.5660188634864036,0.22276130735820146
0.02845140576071613,212.0,0.5747135036390731,0.405322176819228
0.029200350709065823,96.0,0.6737708665769553,0.32402245292021514
0.029013043047906226,38.0,0.3629456535198827,0.49018569359899056
0.024335922596551145,850.0,0.5146831703804668,0.08552947778017869
0.013506202084008533,478.0,0.6049072340938733,1.0604214237093081
0.02638521870388282,916.0,0.722187831800506,0.22868322133161503
0.0270094819673893,577.0,0.19454298352162824,0.3552154223076215
0.030284201445127473,28.0,0.8544409515198964,0.1221983519969872
0.029725730437676925,14.0,1.0012916789101023,0.13028340783741296
0.028321168745274954,84.0,0.837801119211402,0.003138608673650456
0.027927790825323956,142.0,0.8773671293953731,0.19643963164450667
0.030331151243565297,37.0,0.7316758889592333,0.27655419697757855
0.029173613360687328,82.0,0.7349923984469109,0.11711834424541757
0.029803482570275777,26.0,0.9323015399355413,0.24183013699353992
0.02424716328330207,718.0,1.0923814168729442,0.053903680368323326
0.02807240713745727,195.0,0.6688984730176418,0.20387703545434147
0.02644429709714515,106.0,1.0209002920531205,0.476151346516157
0.03009038800705376,56.0,0.5497476354369812,0.3190544045871456
0.028659611992944575,8.0,0.7243057516141775,0.41349889922229544
0.029715836797681045,75.0,0.6230683366871688,0.2972963038963176
0.028484861471042542,156.0,0.4421444381382468,0.16206250588709506
0.025496380430478454,46.0,0.8469798070012216,0.5916350016050835
0.027883322310404735,126.0,0.7776180245801596,0.060083362055858736
0.02884014167836362,75.0,0.9060561762667759,0.1271431390910403
0.028155830453873876,238.0,0.7030687298989509,0.30592309197685713
0.02843253630817344,5.0,0.4874895083072953,0.21847875520185245
0.026685655346793957,418.0,0.5732577922719686,0.5566319053722096
0.030213798680847,42.0,0.5217753596913969,0.3601016166122637
0.030141523143648017,32.0,0.6318462770498794,0.358877047302274
0.029423626858149917,31.0,0.6325281588978006,0.4378444935744933
0.02890886513335393,109.0,0.7617855787698163,0.2650635289835894
0.029662886252383697,67.0,0.336750958956746,0.3694114660573182
0.031226893469026802,29.0,0.4471501253412825,0.17909607754152246
0.031243904770902015,29.0,0.4395810091954744,0.17129301254582419
0.029637638124031872,95.0,0.38572366789972945,0.17670721020411964
0.02758191722456095,144.0,0.26699050590857976,0.00622203522042826
0.03130132635064518,27.0,0.4416940951220855,0.16321472067538506
0.03125014059856655,26.0,0.44446774843187914,0.14874191893009142
0.029310626102292094,6.0,0.430025245283274,0.14862793209349018
0.029425293794765703,79.0,0.4724925539361762,0.04281198321127054
0.03131802271172927,25.0,0.30711312115284617,0.27487028510714795
0.028607616393117163,120.0,0.09671895459163998,0.20684711212273074
0.030076174054276848,59.0,0.22436349679743736,0.2464285087266792
0.030153451526112172,55.0,0.3434352639325443,0.08206428572607197
0.031195181180936973,23.0,0.42503711832305624,0.2930682805258472
0.0314285849260329,22.0,0.4294843699758765,0.18002013067989414
